#,线路,优选IP,丢包,延迟,速度,带宽,Colo,时间
1,电信,172.64.82.114,0.00%,136.85ms,6.92mb/s,55.36mb,查询,2024/04/09 01:42:07
2,电信,198.41.194.162,0.00%,133.42ms,5.43mb/s,43.44mb,查询,2024/04/09 01:42:07
3,电信,198.41.208.15,0.00%,137.10ms,4.71mb/s,37.68mb,查询,2024/04/09 01:42:07
4,电信,162.159.140.85,0.00%,133.65ms,4.48mb/s,35.84mb,查询,2024/04/09 01:42:07
5,电信,172.64.52.127,0.00%,131.46ms,4.14mb/s,33.12mb,查询,2024/04/09 01:42:07
6,电信,162.159.61.183,0.00%,136.58ms,4.09mb/s,32.72mb,查询,2024/04/09 01:42:07
7,电信,172.64.91.69,0.00%,137.64ms,3.24mb/s,25.92mb,查询,2024/04/09 01:42:07
8,电信,172.64.48.226,0.00%,136.35ms,2.25mb/s,18mb,查询,2024/04/09 01:42:07
9,电信,162.159.24.131,0.00%,136.59ms,2.04mb/s,16.32mb,查询,2024/04/09 01:42:07
10,电信,173.245.49.194,0.00%,136.43ms,0.53mb/s,4.24mb,查询,2024/04/09 01:42:07
11,联通,104.26.4.90,0.00%,68.57ms,10.27mb/s,82.16mb,查询,2024/04/09 01:32:04
12,联通,162.159.136.89,0.00%,63.87ms,9.80mb/s,78.4mb,查询,2024/04/09 01:32:04
13,联通,162.159.58.65,0.00%,57.88ms,9.28mb/s,74.24mb,查询,2024/04/09 01:32:04
14,联通,172.64.229.7,0.00%,66.02ms,8.79mb/s,70.32mb,查询,2024/04/09 01:32:04
15,联通,104.26.5.134,0.00%,66.49ms,8.24mb/s,65.92mb,查询,2024/04/09 01:32:04
16,联通,162.159.137.204,0.00%,64.25ms,8.08mb/s,64.64mb,查询,2024/04/09 01:32:04
17,联通,162.159.128.253,0.00%,67.71ms,8.00mb/s,64mb,查询,2024/04/09 01:32:04
18,联通,104.26.3.162,0.00%,68.24ms,7.87mb/s,62.96mb,查询,2024/04/09 01:32:04
19,联通,104.26.8.117,0.00%,68.44ms,7.49mb/s,59.92mb,查询,2024/04/09 01:32:04
20,联通,162.159.140.116,0.00%,68.43ms,6.68mb/s,53.44mb,查询,2024/04/09 01:32:04
21,移动,104.18.81.19,0.00%,104.47ms,12.98mb/s,103.84mb,查询,2024/04/09 01:32:58
22,移动,104.18.89.52,0.00%,101.89ms,12.75mb/s,102mb,查询,2024/04/09 01:32:58
23,移动,104.18.166.129,0.00%,104.57ms,12.56mb/s,100.48mb,查询,2024/04/09 01:32:58
24,移动,198.41.208.224,0.00%,102.84ms,11.33mb/s,90.64mb,查询,2024/04/09 01:32:58
25,移动,104.19.148.121,0.00%,101.29ms,10.83mb/s,86.64mb,查询,2024/04/09 01:32:58
26,移动,104.17.162.3,0.00%,103.77ms,10.74mb/s,85.92mb,查询,2024/04/09 01:32:58
27,移动,104.18.151.172,0.00%,104.53ms,9.88mb/s,79.04mb,查询,2024/04/09 01:32:58
28,移动,104.17.139.37,0.00%,103.46ms,9.63mb/s,77.04mb,查询,2024/04/09 01:32:58
29,移动,104.19.220.22,0.00%,105.08ms,9.62mb/s,76.96mb,查询,2024/04/09 01:32:58
30,移动,104.19.154.200,0.00%,101.87ms,9.60mb/s,76.8mb,查询,2024/04/09 01:32:58
31,多线,104.18.255.167,0.00%,131.75ms,21.55mb/s,172.4mb,查询,2024/04/09 01:41:52
32,多线,104.19.212.207,0.00%,131.70ms,17.95mb/s,143.6mb,查询,2024/04/09 01:41:52
33,多线,104.17.69.244,0.00%,131.09ms,16.76mb/s,134.08mb,查询,2024/04/09 01:41:52
34,多线,104.31.16.158,0.00%,131.53ms,14.40mb/s,115.2mb,查询,2024/04/09 01:41:52
35,多线,104.17.167.134,0.00%,131.07ms,14.04mb/s,112.32mb,查询,2024/04/09 01:41:52
36,多线,104.18.223.253,0.00%,129.86ms,13.24mb/s,105.92mb,查询,2024/04/09 01:41:52
37,多线,104.16.105.166,0.00%,131.85ms,10.34mb/s,82.72mb,查询,2024/04/09 01:41:52
38,多线,104.17.142.212,0.00%,130.11ms,8.67mb/s,69.36mb,查询,2024/04/09 01:41:52
39,多线,104.18.189.153,0.00%,130.92ms,0.14mb/s,1.12mb,查询,2024/04/09 01:41:52
40,多线,104.16.65.1,0.00%,131.93ms,0.14mb/s,1.12mb,查询,2024/04/09 01:41:52
